time,grid_size,block_size,threads_used,solutions,max_depth
0.00900006,9,3,1,1,3
24.553,16,4,1,80,3
0.00900006,9,3,2,1,3
26.597,16,4,2,80,3
0.0109999,9,3,4,1,3
22.202,16,4,4,80,3
0.0120001,9,3,6,1,3
24.991,16,4,6,80,3
0.0139999,9,3,8,1,3
25.512,16,4,8,80,3
0.0120001,9,3,10,1,3
22.066,16,4,10,80,3
0.013,9,3,12,1,3
23.128,16,4,12,80,3
0.0079999,9,3,1,1,3
24.42,16,4,1,80,3
0.00999999,9,3,2,1,3
28.784,16,4,2,80,3
0.013,9,3,4,1,3
21.885,16,4,4,80,3
0.0109999,9,3,6,1,3
29.055,16,4,6,80,3
0.013,9,3,8,1,3
25.643,16,4,8,80,3
0.0149999,9,3,10,1,3
26.175,16,4,10,80,3
0.0179999,9,3,12,1,3
22.536,16,4,12,80,3
0.00800014,9,3,1,1,3
24.812,16,4,1,80,3
0.00999999,9,3,2,1,3
25.194,16,4,2,80,3
0.013,9,3,4,1,3
23.217,16,4,4,80,3
0.013,9,3,6,1,3
26.023,16,4,6,80,3
0.013,9,3,8,1,3
29.608,16,4,8,80,3
0.013,9,3,10,1,3
25.828,16,4,10,80,3
0.00999999,9,3,12,1,3
26.388,16,4,12,80,3
